"MS_NR";"LGD_NR";"M_NAME1";"BAUJAHR";"FKTFAEHG";"ANZ_ANALYSEN";"BEGINN";"ENDE";"Chem_ Mon_ operativ";"Chem_ Mon_tiefeGWK";"Chem_ Mon_ueberblick";"EUA_MN_alt_ bis_2015";"EUA_MN_ab_2015";"EUA_TeilMN_LW";"EU_NO3_MN_alt_bis_2015"
"10L61076003";"3922";"NIENBÜTTEL NORD";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L61042008";"3923";"HOHENFIERT";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
"10L60031007";"3924";"HAGEN SO";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L60092002";"3925";"WAHLSTEDT STREEMWEG";"1994";"voll funktionsfähig";32;1995;2015;;;;;"ja";"ja";"ja"
"10L56048009";"3928";"AHRENLOHE HÖRNWEG";"1994";"voll funktionsfähig";32;1995;2015;;;;"ja";"ja";"ja";
"10L56028009";"3929";"HOLM NORDOST";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";"ja"
"10L56050015";"3934";"WEDEL BÜNDTWIETE";"1994";"voll funktionsfähig";32;1995;2015;"ja";;"ja";"ja";"ja";"ja";
"10L56003005";"3944";"BEVERN DANNESCH F1";"1993";"gesichert (Packer)";4;1996;2015;"ja";;"ja";;;;
"10L60039031";"3962";"RHEN HORSTMOOR F1";"1993";"voll funktionsfähig";13;1996;2015;"ja";;"ja";;"ja";"ja";
"10L60004010";"3971";"BAD BRAMSTEDT BISSENMOOR";"1993";"voll funktionsfähig";13;1996;2015;"ja";;"ja";;;;
"10L60054015";"3972";"LENTFÖHRDEN GRÜTZBERG F1";"1993";"voll funktionsfähig";14;1996;2015;"ja";;"ja";;;;
"10L62015001";"4349";"EICHEDE";"1975";"voll funktionsfähig";5;1974;2011;;"ja";;;;;
"10L62005002";"4361";"BARGFELD GRASTWIETE F2";"1976";"voll funktionsfähig";5;1976;2014;;"ja";;;;;
"10L62012001";"4367";"BÜNNINGSTEDT F3";"1976";"voll funktionsfähig";5;1991;2015;;"ja";;;;;
"10L62012002";"4368";"BÜNNINGSTEDT F2";"1976";"voll funktionsfähig";6;1976;2015;;"ja";;;;;
"10L53126001";"4384";"TRAMM NORD F1";"1978";"voll funktionsfähig";14;1990;2015;"ja";;"ja";;;;
"10L53126002";"4385";"TRAMM SÜD";"1978";"voll funktionsfähig";13;1992;2015;"ja";;"ja";;;;
"10L53089001";"4388";"MÖHNSEN 1A";"1978";"voll funktionsfähig";7;1978;2014;;"ja";;;;;
"10L53089004";"4391";"MÖHNSEN 1B";"1978";"voll funktionsfähig";6;1978;2014;;"ja";;;;;
"10L62088003";"4426";"KRONSHORST F2";"1984";"voll funktionsfähig";6;1984;2015;;"ja";;;;;
"10L62088004";"4427";"KRONSHORST F3";"1984";"voll funktionsfähig";6;1984;2015;;"ja";;;;;
"10L62023003";"4430";"GROSSHANSDORF BRATENHOF F3";"1984";"voll funktionsfähig";27;1984;2015;;"ja";;;;;
"10L62023004";"4431";"GROSSHANSDORF BRATENHOF F4";"1984";"voll funktionsfähig";27;1984;2015;;"ja";;;;;
